_id,barcode,brandCode,category,categoryCode,cpg,topBrand,name
5daf6e31a60b87376833e365,511111706113,GOLDEN GRAHAMS,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Golden Grahams™
5332f7ace4b03c9a25efd13b,511111303503,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",,Bacardi
5f3ff222be37ce1c81aa1e10,511111915638,TEST BRANDCODE @1598026274692,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f3ff222be37ce1c81aa1e0c'}}",,test brand @1598026274692
5d66d8c86d5f3b6188d4f049,511111805342,511111805342,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",,LIFE Special Edition Magazine 
5fcff319be37ce6d53dfc691,511111318033,,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fcff319be37ce6d53dfc690'}}",False,test brand @1607463705032
5332fa74e4b03c9a25efd21e,511111003038,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,Sprite
5f4802bdbe37ce0c83033740,511111615866,TEST BRANDCODE @1598554813744,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4802bdbe37ce0c8303373c'}}",,test brand @1598554813744
585a96e9e4b03e62d1ce0e8b,511111901587,RICE-A-RONI,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,Rice A Roni
5332f756e4b03c9a25efd113,511111503743,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",,Murray
5afda67de4b0c11cfecd49fc,511111504573,STELLA DORO,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",False,STELLA D'ORO
5f4bf556be37ce0b4491554c,511111016342,TEST BRANDCODE @1598813526686,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4bf556be37ce0b44915549'}}",,test brand @1598813526686
5fa1c567be37ce402c4618f3,511111017226,TEST BRANDCODE @1604437351678,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fa1c567be37ce402c4618ef'}}",False,test brand @1604437351678
5ab15669e4b0be0a89bb0b08,511111704423,CAMPBELLS READY MEALS,Grocery,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",False,Campbell's Ready Meals
5332f612e4b03c9a25efd0c4,511111803881,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",,Kickstart
5f21ca86be37ce7958c5952b,511111215264,RESOLVE,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,"{'$ref': 'Cogs', '$id': {'$oid': '5f10c05cbe37ce238c6cabaf'}}",,RESOLVE®
57e580e8e4b0ac389136a304,511111302292,,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",False,Coors Banquet
58861c7e4e8d0d20bc42c4f7,511111001324,MAUI STYLE,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,Maui Style Chips
5332fa84e4b03c9a25efd232,511111002871,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,Powerade Zero
5d2f3eada3a01810a2174aeb,511111804833,CULTURE REPUBLICK ,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",,CULTURE REPUBLICK 
5daf63151dda2c3e1416ae9b,511111906070,WHEATIES,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Wheaties™
5f772952be37ce6b592e90d5,511111116806,TEST BRANDCODE @1601644882062,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f772951be37ce6b592e90d1'}}",,test brand @1601644882062
55bf8c15e4b0d8e685c1489c,511111302575,,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",False,Quaker Life
